"Time (s)","Illuminance (lx)"
1.104579848E1,4.026800000E4
1.108574508E1,4.137600000E4
1.112571215E1,3.906700000E4
1.116567993E1,3.535300000E4
1.120564079E1,3.332200000E4
1.124560481E1,3.038900000E4
1.132553118E1,3.040500000E4
1.136548372E1,3.131400000E4
1.140543262E1,3.287600000E4
1.144538528E1,3.596400000E4
1.148534020E1,3.552900000E4
1.152530614E1,3.852800000E4
1.156527950E1,4.090500000E4
1.160524301E1,4.199800000E4
1.164520989E1,4.277200000E4
1.168518122E1,4.245200000E4
1.172515575E1,4.298900000E4
1.176513114E1,4.419600000E4
1.180511008E1,4.858600000E4
1.184508305E1,5.273500000E4
1.192503614E1,5.598100000E4
1.196498208E1,5.742600000E4
1.200493215E1,5.706300000E4
1.204488930E1,5.755900000E4
1.208485981E1,5.758900000E4
1.212482368E1,5.766200000E4
1.216480133E1,5.672700000E4
1.220477618E1,5.623200000E4
1.224475594E1,5.210500000E4
1.228472668E1,5.218800000E4
1.232467973E1,5.135700000E4
1.236463895E1,4.965100000E4
1.240461282E1,4.840900000E4
1.244458649E1,4.501400000E4
1.248456579E1,4.580100000E4
1.252453731E1,4.389100000E4
1.256451133E1,4.289000000E4
1.260447719E1,4.347300000E4
1.264443419E1,4.442700000E4
1.272439794E1,4.589900000E4
1.276438618E1,4.670500000E4
1.280436801E1,4.748200000E4
1.284434294E1,4.958800000E4
1.288430872E1,4.911100000E4
1.292428629E1,5.103700000E4
1.296426735E1,5.223500000E4
1.300424587E1,5.275700000E4
1.304421094E1,5.336800000E4
1.308417434E1,5.292200000E4
1.312413278E1,5.360900000E4
1.316408801E1,5.495200000E4
1.320404336E1,5.581800000E4
1.324400047E1,5.723100000E4
1.328395907E1,5.756100000E4
1.332391887E1,5.843200000E4
1.336386520E1,5.926000000E4
1.340380743E1,5.954200000E4
1.344375641E1,6.031400000E4
1.348370540E1,5.967000000E4
1.352366794E1,6.084600000E4
1.356363559E1,6.239600000E4
1.360360676E1,6.364200000E4
1.364357985E1,6.482500000E4
1.368354106E1,6.492100000E4
1.372348700E1,6.495200000E4
1.376344462E1,6.451100000E4
1.380339004E1,6.384600000E4
1.384333661E1,6.218000000E4
1.388328547E1,6.302500000E4
1.392324575E1,6.183800000E4
1.396320219E1,6.061800000E4
1.400316133E1,6.012300000E4
1.404311251E1,5.730000000E4
1.408305903E1,5.805400000E4
1.412301395E1,5.753100000E4
1.416297454E1,5.329700000E4
1.420293528E1,5.276500000E4
1.424289020E1,4.927800000E4
1.428284294E1,5.076500000E4
1.432279250E1,4.957600000E4
1.436276344E1,4.796200000E4
1.440273958E1,4.635400000E4
1.444272118E1,4.347500000E4
1.452266723E1,4.164400000E4
1.456263200E1,4.183600000E4
1.460258813E1,4.252500000E4
1.464254676E1,4.249100000E4
1.472249868E1,4.345600000E4
1.476247684E1,4.363300000E4
1.480244192E1,4.379700000E4
1.484239965E1,4.409700000E4
1.488236321E1,4.397300000E4
1.492233637E1,4.569700000E4
1.496230891E1,4.749100000E4
1.500227829E1,4.862700000E4
1.504226219E1,5.057800000E4
1.508223719E1,4.928800000E4
1.512220540E1,4.984600000E4
1.516216243E1,5.051600000E4
1.524208739E1,5.009500000E4
1.532202579E1,4.988100000E4
1.536198071E1,4.897200000E4
1.540193352E1,4.886900000E4
1.544189782E1,4.847800000E4
1.548185895E1,4.897000000E4
1.552183071E1,4.885300000E4
1.556179286E1,4.419100000E4
1.560175133E1,4.394300000E4
1.564170141E1,1.790100000E4
1.568165688E1,1.809300000E4
1.572160106E1,6.590000000E3
1.576155930E1,5.370000000E3
1.580152922E1,5.269000000E3
1.584148532E1,5.506000000E3
1.588142555E1,5.488000000E3
1.592137212E1,1.749900000E4
1.596130797E1,3.055700000E4
1.600125641E1,4.411600000E4
1.604120965E1,5.228500000E4
